Dates,IVV US Equity,IVV AU Equity,ECRPUS 1Y Index,SPXSFRCS Index,FDTRFTRL Index,USCRWTIC Index,XAU Curncy,JPYUSD Curncy,DXY Curncy,VIX Index
12/4/2020,371.19,495.98,25,3420,0,46.26,1838.86,0.009598,90.701,20.79
12/7/2020,370.5,498.23,25,3420,0,45.76,1862.73,0.009611,90.792,21.3
12/8/2020,371.53,497.48,25,3420,0,45.6,1870.56,0.0096,90.965,20.68
12/9/2020,368.28,500.41,25,3420,0,45.52,1839.55,0.009594,91.087,22.27
12/10/2020,368.08,493.04,25,3420,0,46.78,1836.57,0.009595,90.824,22.52
12/11/2020,367.62,487.24,20,4035,0,46.57,1839.85,0.009615,90.976,23.31
12/14/2020,364.35,490.01,20,4035,0,46.99,1827.35,0.009611,90.711,24.72
12/15/2020,369.31,487.62,20,4035,0,47.62,1853.64,0.009647,90.473,22.89
12/16/2020,369.9,490.54,20,4035,0,47.82,1864.8,0.009668,90.45,22.5
12/17/2020,371.96,490.44,20,4035,0,48.36,1885.42,0.009701,89.822,21.93
12/18/2020,370.49,490.97,20,4035,0,49.1,1881.35,0.00968,90.016,21.57
12/21/2020,369.27,492.26,20,4035,0,47.74,1876.89,0.009681,90.043,25.16
12/22/2020,368.56,488.61,20,4035,0,46.9,1860.84,0.009651,90.654,24.23
12/23/2020,368.88,487.26,20,4035,0,47.97,1872.89,0.009657,90.413,23.31
12/24/2020,370.31,486.91,20,4035,0,48.08,1883.46,0.009647,90.323,21.53
12/25/2020,370.31,486.91,20,4035,0,48.08,1883.46,0.009669,90.223,21.53
12/28/2020,373.53,486.91,20,4035,0,47.62,1873.69,0.009636,90.337,21.7
12/29/2020,372.81,493.41,20,4035,0,48,1878.18,0.009659,89.994,23.08
12/30/2020,373.3,488.72,20,4035,0,48.4,1894.39,0.009689,89.68,22.77
12/31/2020,375.39,485.33,20,4035,0,48.52,1898.36,0.009679,89.937,22.75
1/1/2021,375.39,485.33,20,4035,0,48.52,1898.67,0.00969,89.937,22.75
1/4/2021,370.22,487.85,20,4035,0,47.62,1942.9,0.009696,89.869,26.97
1/5/2021,372.67,480.92,20,4035,0,49.93,1950.01,0.009735,89.436,25.34
1/6/2021,374.92,477.14,20,4035,0,50.63,1918.61,0.009704,89.53,25.07
1/7/2021,380.47,482.91,20,4035,0,50.83,1913.95,0.009632,89.826,22.37
1/8/2021,382.64,491.4,20,4035,0,52.24,1849.01,0.009619,90.098,21.56
1/11/2021,380.14,494.03,20,4035,0,52.25,1843.89,0.009593,90.465,24.08
1/12/2021,380.2,494.14,20,4035,0,53.21,1854.77,0.009638,90.093,23.33
1/13/2021,381.16,490.96,20,4035,0,52.91,1845.51,0.009627,90.355,22.21
1/14/2021,379.84,493.42,20,4035,0,53.57,1846.53,0.009634,90.239,23.25
1/15/2021,377.1,487.45,20,4035,0,52.36,1828.45,0.009627,90.772,24.34
1/18/2021,377.1,489.51,20,4035,0,52.36,1841.26,0.009644,90.765,24.34
1/19/2021,380.05,492.05,20,4035,0,52.98,1840.28,0.009624,90.498,23.24
1/20/2021,385.28,492.33,20,4074,0,53.24,1871.84,0.009658,90.475,21.58
1/21/2021,385.62,497.6,20,4074,0,53.09,1870.02,0.009663,90.131,21.32
1/22/2021,384.31,496.7,20,4074,0,52.25,1855.61,0.009637,90.238,21.91
1/25/2021,385.84,498.85,20,4074,0,52.75,1855.93,0.009638,90.391,23.19
1/26/2021,385.27,498.85,20,4074,0,52.61,1850.92,0.00965,90.17,23.02
1/27/2021,375.87,496.83,20,4074,0,52.85,1843.98,0.009605,90.647,37.21
1/28/2021,379.05,490.56,20,4074,0,52.34,1843.17,0.009591,90.455,30.21
1/29/2021,371.52,490.39,20,4074,0,52.2,1847.65,0.009549,90.584,33.09
2/1/2021,377.6,487.92,20,4074,0,53.55,1860.78,0.009529,90.98,30.24
2/2/2021,382.96,497.8,20,4074,0,54.76,1838.03,0.009526,91.197,25.56
2/3/2021,383.26,504.12,20,4074,0,55.69,1834.04,0.009521,91.171,22.91
2/4/2021,387.6,500.88,20,4074,0,56.23,1794.03,0.009473,91.529,21.77
2/5/2021,389.12,511.29,20,4074,0,56.85,1814.11,0.009489,91.042,20.87
2/8/2021,392.05,509.08,20,4074,0,57.97,1830.81,0.009503,90.934,21.24
2/9/2021,391.72,507.21,20,4074,0,58.4,1838.32,0.009564,90.439,21.63
2/10/2021,391.56,507.71,20,4074,0,58.68,1842.89,0.009561,90.371,21.99
2/11/2021,392.22,506.16,20,4074,0,58.24,1825.51,0.009547,90.417,21.25
2/12/2021,394.18,505.2,20,4074,0,59.47,1824.23,0.009531,90.48,19.97
2/15/2021,394.18,508.31,20,4074,0,59.47,1818.86,0.00949,90.48,19.97
2/16/2021,393.87,508.79,20,4074,0,60.05,1794.47,0.009429,90.509,21.46
2/17/2021,393.92,507.83,20,4074,0,61.14,1776.13,0.009446,90.951,21.5
2/18/2021,392.25,507.07,20,4074,0,60.52,1775.67,0.009464,90.592,22.49
2/19/2021,391.51,503.31,20,4074,0,59.24,1784.25,0.009485,90.364,22.05
2/22/2021,388.53,495.59,20,4074,0,61.49,1809.67,0.009517,90.01,23.45
2/23/2021,388.94,493.07,20,4099,0,61.62,1805.73,0.009501,90.169,23.11
2/24/2021,393.21,490.21,20,4099,0,63.18,1805.06,0.009448,90.176,21.34
